Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
R36,127.639mm,-77.571mm,Top,0.000000,R_0805_2012Metric,1k
R37,135.999mm,-79.500mm,Top,0.000000,R_0805_2012Metric,1k
R38,156.569mm,-76.963mm,Top,-90.000000,R_1206_3216Metric,10k
R39,100.000mm,-76.500mm,Top,90.000000,R_0805_2012Metric,1k
R40,93.532mm,-83.000mm,Top,180.000000,R_1206_3216Metric,10k
R41,103.069mm,-83.500mm,Top,-90.000000,ERJ6ENF1000V,100
R42,158.000mm,-102.500mm,Top,0.000000,R_0805_2012Metric,10k
R43,156.000mm,-87.500mm,Top,90.000000,R_0805_2012Metric,15k
R44,156.000mm,-98.500mm,Top,90.000000,R_0805_2012Metric,1k
R46,156.000mm,-109.500mm,Top,90.000000,R_0805_2012Metric,60R4
R47,162.500mm,-75.000mm,Top,0.000000,R_0805_2012Metric,60R4
R48,118.069mm,-99.500mm,Top,0.000000,R_0805_2012Metric,0R
R49,156.000mm,-82.000mm,Top,90.000000,R_0805_2012Metric,40k2
R50,151.500mm,-115.500mm,Top,0.000000,R_0805_2012Metric,10k
U1,121.000mm,-90.500mm,Top,90.000000,SOIC-16_3.9x9.9mm_P1.27mm,SP720
U2,108.781mm,-95.587mm,Top,180.000000,CSTNE16M0V530000R0,CSTNE16M0V530000R0
U3,116.069mm,-103.500mm,Top,0.000000,SOIC-8_3.9x4.9mm_P1.27mm,MCP2562FD-E/SN
U4,113.500mm,-76.000mm,Top,-90.000000,SOT-23-6,TPS560430Y-Q1
