Reference,Qty,Value,Description,Package,Manufacturer,MPN,Supplier,Supplier PN,Product link,DNP,Notes
J1,1,Conn_01x04,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,Würth Elektronik,61300411121,DigiKey,732-5317-ND,https://www.digikey.de/de/products/result?keywords=732-5317-ND,,
J2,1,,,6437288-3,TE Connectivity,6437288-3,DigiKey,A122211-ND,https://www.digikey.de/de/products/result?keywords=A122211-ND,,Gegenstueck/Kontakte separat beschaffen (SUPERSEAL 1.0 60-pol)
L1,1,10uH / 3.3A,Speicherdrossel 10µH 3.3A 12x12mm,Bourns_SRR1260,Bourns,SRR1260-100M,DigiKey,SRR1260-100MCT-ND,https://www.digikey.de/de/products/result?keywords=SRR1260-100MCT-ND,,
L2,1,8.2uH / 5A,Speicherdrossel 8.2µH 5A 12x12mm,Bourns_SRR1260,Bourns,SRR1260A-8R2Y,DigiKey,SRR1260A-8R2YCT-ND,https://www.digikey.de/de/products/result?keywords=SRR1260A-8R2YCT-ND,,"AEC-Q200-A-Serie, Irms 5.7A"
"Q4,Q1,Q3,Q2",4,ISL9V5036P3-F085,ISL9V5036P3-F085,TO254P470X1016X2019-3P,onsemi,ISL9V5036P3-F085,DigiKey,ISL9V5036P3-F085-ND,https://www.digikey.de/de/products/result?keywords=ISL9V5036P3-F085-ND,,
Q5,1,BSS138,BSS138,SOT-23,onsemi,BSS138,DigiKey,BSS138CT-ND,https://www.digikey.de/de/products/result?keywords=BSS138CT-ND,,
Q6,1,SQM120N06-3M5L,SQM120N06-3M5L,TO-263-2,Vishay Siliconix,SQM120N06-3M5L_GE3,DigiKey,SQM120N06-3M5L_GE3CT-ND,https://www.digikey.de/de/products/result?keywords=SQM120N06-3M5L_GE3CT-ND,,Ersatz: SQJ973EP existiert nicht; N-Kanal 60V 3.5mOhm fuer LM74700-Ideal-Diode
"R1,R92,R122,R18,R17,R63,R75,R124,R51,R40,R52,R41,R95,R93,R96,R94,R97,R98",18,1k,Widerstand 1k ±1% 0.125W 0805,0805,Yageo,RC0805FR-071KL,DigiKey,311-1.00KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-1.00KCRCT-ND,,
"R7,R6",2,60.4R,Widerstand 60.4R ±1% 0.125W 0805,0805,Yageo,RC0805FR-0760R4L,DigiKey,311-60.4CRCT-ND,https://www.digikey.de/de/products/result?keywords=311-60.4CRCT-ND,,
"R10,R21,R9,R22",4,0R DNP,Widerstand 0R DNP ±5% 0.125W 0805,0805,Yageo,RC0805JR-070RL,DigiKey,311-0.0ARCT-ND,https://www.digikey.de/de/products/result?keywords=311-0.0ARCT-ND,yes,
"R13,R20,R19,R11",4,0R,Widerstand 0R ±5% 0.125W 0805,0805,Yageo,RC0805JR-070RL,DigiKey,311-0.0ARCT-ND,https://www.digikey.de/de/products/result?keywords=311-0.0ARCT-ND,,
"R16,R15",2,10k DNP,Widerstand 10k DNP ±1% 0.125W 0805,0805,Yageo,RC0805FR-0710KL,DigiKey,311-10.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-10.0KCRCT-ND,yes,
"R23,R24,R25,R26",4,10k,Widerstand 10k ±1% 0.25W 1206 AEC-Q200,1206,Yageo,RC1206FR-7W10KL,DigiKey,13-RC1206FR-7W10KLTR-ND,https://www.digikey.de/de/products/result?keywords=13-RC1206FR-7W10KLTR-ND,,
"R29,R53,R28,R54",4,33,Widerstand 33 ±1% 0.125W 0805 AEC-Q200,0805,Yageo,RC0805FR-7W33RL,DigiKey,13-RC0805FR-7W33RLCT-ND,https://www.digikey.de/de/products/result?keywords=13-RC0805FR-7W33RLCT-ND,,
R30,1,20m,Shunt 20m ±1% 1W 2512,2512,Vishay Dale,WSL2512R0200FEA,DigiKey,WSLG-.02CT-ND,https://www.digikey.de/de/products/result?keywords=WSLG-.02CT-ND,,
"R42,R45,R38,R36,R44,R39,R43,R37",8,18k,Widerstand 18k ±1% 0.25W 1206,1206,Yageo,RC1206FR-0718KL,DigiKey,311-18.0KFRCT-ND,https://www.digikey.de/de/products/result?keywords=311-18.0KFRCT-ND,,
"R46,R49,R48,R47",4,4.02k,Widerstand 4.02k ±1% 0.125W 0805,0805,Yageo,RC0805FR-074K02L,DigiKey,311-4.02KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-4.02KCRCT-ND,,
"R50,R104,R99,R100,R103,R101,R112,R108,R109,R102",10,100k,Widerstand 100k ±1% 0.125W 0805,0805,Yageo,RC0805FR-07100KL,DigiKey,311-100KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-100KCRCT-ND,,
"R56,R55",2,2k49,Widerstand 2k49 ±1% 0.125W 0805,0805,Yageo,RC0805FR-072K49L,DigiKey,311-2.49KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-2.49KCRCT-ND,,
R72,1,47k,Widerstand 47k ±1% 0.125W 0805,0805,Yageo,RC0805FR-0747KL,DigiKey,311-47.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-47.0KCRCT-ND,,
"R83,R87,R88,R82,R66,R64,R65",7,12k,Widerstand 12k ±1% 0.125W 0805,0805,Yageo,RC0805FR-0712KL,DigiKey,311-12.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-12.0KCRCT-ND,,
"R84,R85,R67,R69,R68",5,20k,Widerstand 20k ±1% 0.125W 0805,0805,Yageo,RC0805FR-0720KL,DigiKey,311-20.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-20.0KCRCT-ND,,
"R86,R77,R76,R120,R12,R14,R61,R60,R62,R58,R59,R70",12,470R,Widerstand 470R ±1% 0.125W 0805,0805,Yageo,RC0805FR-07470RL,DigiKey,311-470CRCT-ND,https://www.digikey.de/de/products/result?keywords=311-470CRCT-ND,,
"R89,R80,R79,R78,R81,R71,R74,R73,R8,R5,R4,R3,R2,R123,R35,R34,R31,R32,R33,R27,R106,R110,R113,R111",24,10k,Widerstand 10k ±1% 0.125W 0805,0805,Yageo,RC0805FR-0710KL,DigiKey,311-10.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-10.0KCRCT-ND,,
R90,1,5k6,Widerstand 5k6 ±1% 0.125W 0805,0805,Yageo,RC0805FR-075K6L,DigiKey,311-5.60KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-5.60KCRCT-ND,,
R91,1,1M,Widerstand 1M ±1% 0.125W 0805,0805,Yageo,RC0805FR-071ML,DigiKey,311-1.00MCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-1.00MCRCT-ND,,
