Reference,Qty,Value,Footprint,MPN,Manufacturer,DigiKey,DK_Stock,Mouser,MO_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
D41,1,SM8S24A,DO-218AB,SM8S24A,SMC Diode Solutions,1655-SM8S24ACT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=1655-SM8S24ACT-ND,,,
D42,1,B560C,SMC,B560C-13-F,Diodes Incorporated,B560C-FDICT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=B560C-FDICT-ND,,,
"D43,D44,D45",3,LED grn,0805,LTST-C170GKT,Lite-On,160-1179-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=160-1179-1-ND,,,
F1,1,150mA,1812,1812L014DR,Littelfuse,F3353CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=F3353CT-ND,,,"PTC 140mA hold (naechster Standardwert zu 150mA), 60V"
F2,1,3A / 63V,1206,0483003.DR,Littelfuse,18-0483003.DRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=18-0483003.DRCT-ND,,,3A/65V flink 1206 (63V-Anforderung: 437er-Serie schafft nur 35V)
IC1,1,MAX9926UAEE_V+,QSOP-16_3.9x4.9mm_P0.635mm,MAX9926UAEE/V+,Analog Devices,MAX9926UAEE/V+-ND,,700-MAX9926UAEE/V+,,DigiKey,https://componentsearchengine.com/Datasheets/1/MAX9926UAEE_V+.pdf,,,
"IC3,IC4,IC2",3,ZXMS6006DT8,SOT153P700X170-8N,ZXMS6006DT8TA,Diodes Incorporated,ZXMS6006DT8TADICT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=ZXMS6006DT8TADICT-ND,,,Last Time Buy 06.01.2027 - Bedarf sichern
IC5,1,LD1117S33,SOT-223-3_TabPin2,LD1117S33CTR,STMicroelectronics,497-1241-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=497-1241-1-ND,,,
IC6,1,74AHCT125T14-13,TSSOP-14_4.4x5mm_P0.65mm,74AHCT125T14-13,Diodes Incorporated,31-74AHCT125T14-13CT-ND,,621-74AHCT125T14-13,,DigiKey,https://www.diodes.com/assets/Datasheets/74AHCT125.pdf,,,
IC7,1,TPIC8101DW,SOIC-20W_7.5x12.8mm_P1.27mm,TPIC8101DWR,Texas Instruments,296-15132-1-ND,,595-TPIC8101DW,,DigiKey,http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=TPIC8101&&fileType=pdf,,,
J1,1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,61300411121,Würth Elektronik,732-5317-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=732-5317-ND,,,
J2,1,,6437288-3,6437288-3,TE Connectivity,A122211-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=A122211-ND,,,Gegenstueck/Kontakte separat beschaffen (SUPERSEAL 1.0 60-pol)
L1,1,10uH / 3.3A,Bourns_SRR1260,SRR1260-100M,Bourns,SRR1260-100MCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=SRR1260-100MCT-ND,,,
L2,1,8.2uH / 5A,Bourns_SRR1260,SRR1260A-8R2Y,Bourns,SRR1260A-8R2YCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=SRR1260A-8R2YCT-ND,,,"AEC-Q200-A-Serie, Irms 5.7A"
"Q4,Q1,Q3,Q2",4,ISL9V5036P3-F085,TO254P470X1016X2019-3P,ISL9V5036P3-F085,onsemi,ISL9V5036P3-F085-ND,,512-ISL9V5036P3-F085,,DigiKey,https://www.onsemi.com/pub/Collateral/ISL9V5036S3ST-D.PDF,,,
Q5,1,BSS138,SOT-23,BSS138,onsemi,BSS138CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=BSS138CT-ND,,,
Q6,1,SQM120N06-3M5L,TO-263-2,SQM120N06-3M5L_GE3,Vishay Siliconix,SQM120N06-3M5L_GE3CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=SQM120N06-3M5L_GE3CT-ND,,,Ersatz: SQJ973EP existiert nicht; N-Kanal 60V 3.5mOhm fuer LM74700-Ideal-Diode
"R1,R92,R122,R18,R17,R63,R75,R124,R51,R40,R52,R41,R95,R93,R96,R94,R97,R98",18,1k,0805,RC0805FR-071KL,Yageo,311-1.00KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1.00KCRCT-ND,,,
"R7,R6",2,60.4R,0805,RC0805FR-0760R4L,Yageo,311-60.4CRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-60.4CRCT-ND,,,
"R10,R21,R9,R22",4,0R DNP,0805,RC0805JR-070RL,Yageo,311-0.0ARCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-0.0ARCT-ND,,yes,
"R13,R20,R19,R11",4,0R,0805,RC0805JR-070RL,Yageo,311-0.0ARCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-0.0ARCT-ND,,,
"R16,R15",2,10k DNP,0805,RC0805FR-0710KL,Yageo,311-10.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-10.0KCRCT-ND,,yes,
"R23,R24,R25,R26",4,10k,1206,RC1206FR-7W10KL,Yageo,13-RC1206FR-7W10KLTR-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=13-RC1206FR-7W10KLTR-ND,,,
"R29,R53,R28,R54",4,33,0805,RC0805FR-7W33RL,Yageo,13-RC0805FR-7W33RLCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=13-RC0805FR-7W33RLCT-ND,,,
R30,1,20m,2512,WSL2512R0200FEA,Vishay Dale,WSLG-.02CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=WSLG-.02CT-ND,,,
"R42,R45,R38,R36,R44,R39,R43,R37",8,18k,1206,RC1206FR-0718KL,Yageo,311-18.0KFRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-18.0KFRCT-ND,,,
"R46,R49,R48,R47",4,4.02k,0805,RC0805FR-074K02L,Yageo,311-4.02KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-4.02KCRCT-ND,,,
"R50,R104,R99,R100,R103,R101,R112,R108,R109,R102",10,100k,0805,RC0805FR-07100KL,Yageo,311-100KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-100KCRCT-ND,,,
"R56,R55",2,2k49,0805,RC0805FR-072K49L,Yageo,311-2.49KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-2.49KCRCT-ND,,,
R72,1,47k,0805,RC0805FR-0747KL,Yageo,311-47.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-47.0KCRCT-ND,,,
"R83,R87,R88,R82,R66,R64,R65",7,12k,0805,RC0805FR-0712KL,Yageo,311-12.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-12.0KCRCT-ND,,,
"R84,R85,R67,R69,R68",5,20k,0805,RC0805FR-0720KL,Yageo,311-20.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-20.0KCRCT-ND,,,
"R86,R77,R76,R120,R12,R14,R61,R60,R62,R58,R59,R70",12,470R,0805,RC0805FR-07470RL,Yageo,311-470CRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-470CRCT-ND,,,
