Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
C36,112.500mm,-89.500mm,Top,0.000000,C_0805_2012Metric,100nF
C37,118.500mm,-95.000mm,Top,0.000000,C_0805_2012Metric,100nF
C38,114.000mm,-116.000mm,Top,90.000000,C_0805_2012Metric,100nF
C39,118.000mm,-115.000mm,Top,0.000000,C_0805_2012Metric,10nF
C40,126.000mm,-116.000mm,Top,0.000000,C_0805_2012Metric,10nF
C41,127.500mm,-97.000mm,Top,90.000000,C_0805_2012Metric,100nF
C42,114.000mm,-100.500mm,Top,90.000000,C_0805_2012Metric,100nF
C43,127.000mm,-132.000mm,Top,0.000000,C_0805_2012Metric,100nF
C44,203.500mm,-100.000mm,Top,0.000000,C_0805_2012Metric,10n
C45,161.000mm,-98.500mm,Top,90.000000,C_0805_2012Metric,10n
C46,195.000mm,-106.500mm,Top,0.000000,CP_Elec_8x10,100u/50V
C47,127.000mm,-34.800mm,Top,90.000000,C_0805_2012Metric,1u
C48,116.600mm,-34.800mm,Top,90.000000,C_0805_2012Metric,220n
C49,124.400mm,-34.800mm,Top,90.000000,C_0805_2012Metric,22n
C50,129.600mm,-34.800mm,Top,90.000000,C_0805_2012Metric,1n
C51,165.000mm,-99.000mm,Top,0.000000,C_0805_2012Metric,100n
C52,165.500mm,-95.000mm,Top,90.000000,C_0805_2012Metric,100n
C53,111.500mm,-131.500mm,Top,0.000000,C_1210_3225Metric,100nF/100V
C54,105.000mm,-140.000mm,Top,0.000000,C_1210_3225Metric,100nF/100V
C55,117.500mm,-129.500mm,Top,0.000000,C_1210_3225Metric,4.7uF/100V
C56,111.500mm,-127.000mm,Top,0.000000,C_1210_3225Metric,4.7uF/100V
C57,76.500mm,-139.500mm,Top,90.000000,C_0805_2012Metric,1uF/50V
C58,119.000mm,-138.000mm,Top,0.000000,C_0805_2012Metric,10uF/10V
C59,71.000mm,-115.500mm,Top,90.000000,C_0805_2012Metric,100nF/25V
C60,83.500mm,-133.000mm,Top,90.000000,C_0805_2012Metric,39pF
C61,87.500mm,-117.500mm,Top,0.000000,CP_Elec_8x10,100uF/50V
C62,68.500mm,-115.500mm,Top,90.000000,C_0805_2012Metric,6800pF
C63,109.000mm,-80.500mm,Top,90.000000,C_0805_2012Metric,10uF/10V
C64,113.000mm,-136.000mm,Top,0.000000,C_1210_3225Metric,22uF/10V
C65,99.000mm,-140.000mm,Top,0.000000,C_1210_3225Metric,100nF/100V
C66,73.000mm,-130.500mm,Top,90.000000,C_0805_2012Metric,100nF/25V
C67,124.500mm,-135.500mm,Top,0.000000,C_0805_2012Metric,100nF
C68,114.000mm,-140.000mm,Top,0.000000,C_0805_2012Metric,100nF
C69,102.000mm,-132.500mm,Top,0.000000,CP_Elec_8x10,100uF/50V
C70,123.500mm,-128.000mm,Top,0.000000,C_1210_3225Metric,47uF/10V X7R
C71,111.500mm,-122.500mm,Top,0.000000,C_1210_3225Metric,10uF/50V X7R
C72,119.000mm,-134.000mm,Top,0.000000,C_1210_3225Metric,47uF/10V X7R
C73,117.500mm,-125.000mm,Top,0.000000,C_1210_3225Metric,100nF/100V
C74,69.000mm,-94.950mm,Top,-90.000000,C_0805_2012Metric,100nF
C75,153.000mm,-133.000mm,Top,0.000000,C_0805_2012Metric,0.01uF
C76,161.500mm,-94.500mm,Top,0.000000,C_0805_2012Metric,CC0805KRX7R9BB104
C77,150.500mm,-92.500mm,Top,0.000000,C_0805_2012Metric,100nF
C78,162.500mm,-91.000mm,Top,0.000000,C_0805_2012Metric,CC0805KRX7R9BB104
C79,162.000mm,-87.500mm,Top,0.000000,C_0805_2012Metric,CC0805KKX7R7BB475
C80,158.000mm,-133.000mm,Top,0.000000,C_0805_2012Metric,CC0805KRX7R9BB104
C81,163.500mm,-139.000mm,Top,0.000000,C_0805_2012Metric,CC0805JRX7R9BB332
C82,154.500mm,-140.500mm,Top,90.000000,C_0805_2012Metric,CC0805JRX7R9BB332
D1,146.000mm,-77.650mm,Top,90.000000,D_PowerDI-123,D_Schottky
D2,162.500mm,-54.500mm,Top,0.000000,D_SMA,SMAJ5.0A
D3,169.500mm,-61.000mm,Top,90.000000,SOT-23,NUP2105L
D4,150.620mm,-98.110mm,Top,0.000000,SOT-23,BAV199
D5,156.644mm,-88.102mm,Top,0.000000,SOT-23,BAV199
D6,123.014mm,-113.495mm,Top,0.000000,SOT-23,BAV199
D7,150.211mm,-116.034mm,Top,0.000000,SOT-23,BAV199
D8,176.900mm,-61.583mm,Top,-90.000000,LED_0805_2012Metric,LED
D9,180.600mm,-61.671mm,Top,-90.000000,LED_0805_2012Metric,LED
D10,176.900mm,-58.171mm,Top,-90.000000,D_SOD-323,D
D11,180.600mm,-58.258mm,Top,-90.000000,D_SOD-323,D
D12,173.000mm,-58.229mm,Top,-90.000000,D_SOD-323,D
D13,184.500mm,-58.200mm,Top,-90.000000,D_SOD-323,D
D14,173.000mm,-61.642mm,Top,-90.000000,LED_0805_2012Metric,LED
D15,184.500mm,-61.612mm,Top,-90.000000,LED_0805_2012Metric,LED
D16,91.000mm,-89.500mm,Top,0.000000,SOT-23,BAV199
D17,100.500mm,-75.500mm,Top,0.000000,SOT-23,BAV199
D18,94.000mm,-84.500mm,Top,90.000000,SOT-23,BAV199
D19,105.500mm,-75.500mm,Top,90.000000,SOT-23,BAV199
D20,104.500mm,-80.500mm,Top,0.000000,SOT-23,BAV199
D21,99.000mm,-80.500mm,Top,0.000000,SOT-23,BAV199
D22,73.500mm,-89.500mm,Top,0.000000,D_SMA,3V6 1W (SMA)
D23,89.000mm,-84.500mm,Top,0.000000,SOT-23,BAV199
D24,95.500mm,-74.500mm,Top,90.000000,SOT-23,BAV199
D25,93.500mm,-79.500mm,Top,0.000000,SOT-23,BAV199
D26,118.000mm,-99.500mm,Top,90.000000,SOT-23,BAV199
D27,123.500mm,-94.500mm,Top,90.000000,SOT-23,BAV199
D28,123.000mm,-99.500mm,Top,0.000000,SOT-23,BAV199
D29,118.000mm,-120.000mm,Top,90.000000,SOT-23,BAV199
D30,114.500mm,-110.500mm,Top,0.000000,SOT-23,BAV199
D31,192.500mm,-130.500mm,Top,0.000000,D_SMA,SS34
D32,185.500mm,-132.000mm,Top,90.000000,D_SMA,SS34
D33,196.000mm,-116.000mm,Top,90.000000,D_SMA,SS34
D34,198.500mm,-123.000mm,Top,0.000000,D_SMA,SS34
D35,179.000mm,-130.500mm,Top,0.000000,D_SMA,SS34
D36,179.000mm,-135.500mm,Top,0.000000,D_SMA,SS34
D37,200.500mm,-117.000mm,Top,90.000000,D_SOD-123,1N4148W
D38,170.000mm,-139.000mm,Top,90.000000,D_SOD-123,1N4148W
D39,206.500mm,-116.500mm,Top,0.000000,D_SMA,SS34
D40,176.000mm,-140.500mm,Top,0.000000,D_SMA,SS34
D41,101.000mm,-102.000mm,Top,0.000000,D_DO-218AB,SM8S24A
D42,87.500mm,-126.500mm,Top,0.000000,D_SMC,B560C
D43,72.000mm,-85.500mm,Top,0.000000,LED_0805_2012Metric,LED grn
D44,124.500mm,-139.000mm,Top,0.000000,LED_0805_2012Metric,LED grn
D45,76.000mm,-81.500mm,Top,90.000000,LED_0805_2012Metric,LED grn
D46,163.000mm,-129.500mm,Top,0.000000,SOT-23,BAV199
D47,163.500mm,-134.500mm,Top,90.000000,SOT-23,BAV199
F1,162.500mm,-59.500mm,Top,0.000000,Fuse_1812_4532Metric,150mA
F2,72.500mm,-95.500mm,Top,0.000000,Fuse_1206_3216Metric,3A / 63V
