Line#,Qty,Designator,MPN,Manufacturer,Description,Package,Type,Supplier,Supplier Part Number,Notes
54,1,J2,6437288-3,TE Connectivity,,6437288-3,THT,DigiKey,A122211-ND,Gegenstueck/Kontakte separat beschaffen (SUPERSEAL 1.0 60-pol)
55,1,L1,SRR1260-100M,Bourns,Speicherdrossel 10µH 3.3A 12x12mm,Bourns_SRR1260,SMD,DigiKey,SRR1260-100MCT-ND,
56,1,L2,SRR1260A-8R2Y,Bourns,Speicherdrossel 8.2µH 5A 12x12mm,Bourns_SRR1260,SMD,DigiKey,SRR1260A-8R2YCT-ND,"AEC-Q200-A-Serie, Irms 5.7A"
57,4,"Q4,Q1,Q3,Q2",ISL9V5036P3-F085,onsemi,ISL9V5036P3-F085,TO254P470X1016X2019-3P,THT,DigiKey,ISL9V5036P3-F085-ND,
58,1,Q5,BSS138,onsemi,BSS138,SOT-23,SMD,DigiKey,BSS138CT-ND,
59,1,Q6,SQM120N06-3M5L_GE3,Vishay Siliconix,SQM120N06-3M5L,TO-263-2,SMD,DigiKey,SQM120N06-3M5L_GE3CT-ND,Ersatz: SQJ973EP existiert nicht; N-Kanal 60V 3.5mOhm fuer LM74700-Ideal-Diode
60,18,"R1,R92,R122,R18,R17,R63,R75,R124,R51,R40,R52,R41,R95,R93,R96,R94,R97,R98",RC0805FR-071KL,Yageo,Widerstand 1k ±1% 0.125W 0805,0805,SMD,DigiKey,311-1.00KCRCT-ND,
61,2,"R7,R6",RC0805FR-0760R4L,Yageo,Widerstand 60.4R ±1% 0.125W 0805,0805,SMD,DigiKey,311-60.4CRCT-ND,
62,4,"R13,R20,R19,R11",RC0805JR-070RL,Yageo,Widerstand 0R ±5% 0.125W 0805,0805,SMD,DigiKey,311-0.0ARCT-ND,
63,4,"R23,R24,R25,R26",RC1206FR-7W10KL,Yageo,Widerstand 10k ±1% 0.25W 1206 AEC-Q200,1206,SMD,DigiKey,13-RC1206FR-7W10KLTR-ND,
64,4,"R29,R53,R28,R54",RC0805FR-7W33RL,Yageo,Widerstand 33 ±1% 0.125W 0805 AEC-Q200,0805,SMD,DigiKey,13-RC0805FR-7W33RLCT-ND,
